,by,id,kids,parent,text,time
0,erichocean,12982814,[12983084],12982309,Would be nice to see a change log.,1479425434
0,vanjoe,12983084,,12982814,The biggest feature change is the addition of interrupt support. Also stability and bug fixes.,1479427545
